Order,Semester,Lesson,Slide,QID,Classification,Purpose,Activity,Lesson Flow,Passive Type,
1253,S16,ne 10:  Ancient Climates,Determine Albedo,q:1397001004269:909,Active,,,Required,,
1254,S16,ne 10:  Ancient Climates,Freeze,q:1397001004269:919,Active,,,Required,,
1255,S16,ne 10:  Ancient Climates,Melt,q:1397001004269:931,Active,,,Required,,
1256,S16,ne 10:  Ancient Climates,Snowball Setup,q:1397001004269:947,Active,,,Required,,
1257,S16,ne 10:  Ancient Climates,Snowball Break,q:1397001004269:951,Active,,,Required,,
1258,S16,ne 10:  Ancient Climates,Snowball Earth,q:1397001004269:955,Passive,,,Required,Text+Image,
1259,S16,ne 10:  Ancient Climates,Climate Records,q:1415314182918:530,Passive,,,Required,Text+Image,
1260,S16,ne 10:  Ancient Climates,Climates,q:1415314407327:539,Passive,,,Required,Text+Image,
1261,S16,ne 10:  Ancient Climates,Cold Environment,q:1415314402433:535,Active,,,Required,,
1262,S16,ne 10:  Ancient Climates,Hot Environment,q:1415318135673:487,Active,,,Required,,
1263,S16,ne 10:  Ancient Climates,Cap Carbonate - Identify,q:1415319753657:492,Active,,,Required,,
1264,S16,ne 10:  Ancient Climates,Cap Carbonate - Interpret,q:1415320523069:501,Active,,,Required,,
1265,S16,ne 10:  Ancient Climates,Lecturette:  Snowball Earth,q:1397001004270:981,Active,,,Required,,
1266,S16,ne 10:  Ancient Climates,Intro,q:1428619656506:567,Passive,,,Required,Text+Image,
1267,S16,ne 10:  Ancient Climates,Model Evaluation,q:1428619782516:571,Passive,,,Required,Text+Image,
1268,S16,ne 10:  Ancient Climates,Faint Young Sun,q:1397001008772:100,Active,,,Required,,
1269,S16,ne 10:  Ancient Climates,Past Temps,q:1397001008773:101,Active,,,Required,,
1270,S16,ne 10:  Ancient Climates,Water Worlds,q:1397001008773:101,Active,,,Required,,
1271,S16,ne 10:  Ancient Climates,Experiment,q:1415384948703:532,Passive,,,Required,Text+Image,
1272,S16,ne 10:  Ancient Climates,Chain of Logic,q:1415385157573:537,Active,,,Required,,
1273,S16,ne 10:  Ancient Climates,Marble Bar,q:1397001008773:102,Active,,,Required,,
1274,S16,ne 10:  Ancient Climates,Revisit Chain,q:1415386805401:574,Active,,,Required,,
1275,S16,ne 10:  Ancient Climates,RH - Baby with Bathwater,q:1428621327247:618,Active,,,Optional,,
1276,S16,ne 10:  Ancient Climates,RH - Lum/Teff,q:1415398922470:583,Active,,,Optional,,
1277,S16,ne 10:  Ancient Climates,RH - Temp/Phase,q:1415399666812:599,Active,,,Optional,,
1278,S16,ne 10:  Ancient Climates,Explore - Solar Model,q:1415400201383:612,Passive,,,Required,Text+Image,
1279,S16,ne 10:  Ancient Climates,Explore - MB Outlier,q:1415400342156:617,Passive,,,Required,Text+Image,
1280,S16,ne 10:  Ancient Climates,Explore - GHE/Albedo,q:1415400541693:622,Active,,,Required,,
1281,S16,ne 10:  Ancient Climates,Lecturette:  Dynamic Atmosphere,q:1397001008773:1040,Passive,,,Required,Video,
1282,S16,ne 10:  Ancient Climates,Survey,q:1428631369904:633,Passive,,,Required,Text+Image,
1283,S16,ne 10:  Ancient Climates,Conclusion,q:1397620819935:140,Passive,,,Required,Text+Video,
1284,S16,ne 10:  Ancient Climates,Summary,q:1397001012865:1045,Passive,,,Required,Text,
1285,S16,ne 10:  Application,Instructions,q:1397001106683:177,Passive,,,Required,Text,
1286,S16,ne 10:  Application,Core,q:1397001106683:186,Active,,,Required,,
1287,S16,ne 10:  Application,Luminosity,q:1397001106683:195,Active,,,Required,,
1288,S16,ne 10:  Application,Temperature,q:1397001106683:199,Active,,,Required,,
1289,S16,ne 10:  Application,GHE,q:1397001106683:203,Active,,,Required,,
1290,S16,ne 10:  Application,Exit,q:1397001106684:220,Passive,,,Required,Text+Image,
1291,S16,fl 1:  Defining Life,Introduction,q:1397864081791:209,Passive,,,Required,Text+Image,
1292,S16,fl 1:  Defining Life,Animals,q:1397864017678:179,Active,,,Bank Option,,
1293,S16,fl 1:  Defining Life,Plants,q:1397864017678:186,Active,,,Bank Option,,
1294,S16,fl 1:  Defining Life,Microbes,q:1397864017678:193,Active,,,Bank Option,,
1295,S16,fl 1:  Defining Life,Survey Results,q:1397864017678:200,Passive,,,Required,Text+Poll Results,
1296,S16,fl 1:  Defining Life,Cells,q:1398027672186:364,Passive,,,Required,Text+Image,
1297,S16,fl 1:  Defining Life,Tree of Life,q:1398029010151:406,Active,,,Required,,
1298,S16,fl 1:  Defining Life,Elements,q:1415988734398:972,Active,,,Required,,
1299,S16,fl 1:  Defining Life,Membrane,q:1415987695076:961,Passive,,,Required,Text+Image,
1300,S16,fl 1:  Defining Life,Phospholipid - Components,q:1398030321966:416,Active,,,Required,,
1301,S16,fl 1:  Defining Life,Phospholipid - Behavior,q:1398029218676:411,Passive,,,Required,Text+Image,
1302,S16,fl 1:  Defining Life,Construction,q:1398031123784:427,Passive,,,Required,Text+Image,
1303,S16,fl 1:  Defining Life,DNA-RNA-Proteins,q:1398030823498:422,Passive,,,Required,Text+Image,
1304,S16,fl 1:  Defining Life,DNA/RNA - Components,q:1398032939794:432,Active,,,Required,,
1305,S16,fl 1:  Defining Life,Protein - Components,q:1398033750255:437,Active,,,Required,,
1306,S16,fl 1:  Defining Life,Bioessential Elements,q:1398027891014:402,Passive,,,Required,Text+Image,
1307,S16,fl 1:  Defining Life,Element Substitution,q:1398035856582:65,Passive,,,Required,Text+Image,
1308,S16,fl 1:  Defining Life,Solute Substitution,q:1398036885457:739,Passive,,,Required,Text+Image,
1309,S16,fl 1:  Defining Life,Intro,q:1398035378659:60,Passive,,,Required,Text+Image,
1310,S16,fl 1:  Defining Life,Energy Sources,q:1415989927525:982,Active,,,Required,,
1311,S16,fl 1:  Defining Life,Trophys,q:1415998842555:1003,Passive,,,Required,Text+Image,
1312,S16,fl 1:  Defining Life,Energy Flow,q:1398038512503:744,Passive,,,Required,Text+Image,
1313,S16,fl 1:  Defining Life,First Law,q:1415999514334:1012,Passive,,,Required,Text+Image,
1314,S16,fl 1:  Defining Life,Second Law,q:1415999649959:1016,Passive,,,Required,Text+Image,
1315,S16,fl 1:  Defining Life,Third Law,q:1415999782183:1020,Passive,,,Required,Text+Image,
1316,S16,fl 1:  Defining Life,2nd Law,q:1398039160196:749,Passive,,,Required,Text+Image,
1317,S16,fl 1:  Defining Life,Biosignatures,q:1416000433438:1025,Passive,,,Required,Text+Image,
1318,S16,fl 1:  Defining Life,Lecturette: Life,q:1397864017678:204,Passive,,,Required,Video,
1319,S16,fl 1:  Defining Life,Summary,q:1398039796701:754,Passive,,,Required,Text,
1320,S16,fl 1:  Application,Instructions,q:1416002030127:747,Passive,,,Required,Text,
1321,S16,fl 1:  Application,Bioessential,q:1416002030127:751,Active,,,Required,,
1322,S16,fl 1:  Application,Combo 1,q:1416002030127:759,Active,,,Bank Option,,
1323,S16,fl 1:  Application,Combo 2,q:1416002030127:763,Active,,,Bank Option,,
1324,S16,fl 1:  Application,Combo 3,q:1416002030127:767,Active,,,Bank Option,,
1325,S16,fl 1:  Application,Combo 4,q:1416002030127:771,Active,,,Bank Option,,
1326,S16,fl 1:  Application,Combo 5,q:1416002030127:775,Active,,,Bank Option,,
1327,S16,fl 1:  Application,Combo 6,q:1416002030127:779,Active,,,Bank Option,,
1328,S16,fl 1:  Application,Combo 7,q:1416002030127:783,Active,,,Bank Option,,
1329,S16,fl 1:  Application,Combo 8,q:1416002030127:787,Active,,,Bank Option,,
1330,S16,fl 1:  Application,Exit,q:1416002030127:791,Passive,,,Required,Text+Image,
1331,S16,fl 2:  Life Ingredients,Introduction,q:1398094719914:362,Passive,,,Required,Text+Image,
1332,S16,fl 2:  Life Ingredients,Hypothesis,q:1398098519094:401,Active,,,Required,,
1333,S16,fl 2:  Life Ingredients,Dust,q:1398101570710:420,Passive,,,Required,Text+Image,
1334,S16,fl 2:  Life Ingredients,Photolysis,q:1398101820705:425,Active,,,Required,,
1335,S16,fl 2:  Life Ingredients,Star,q:1447095493955:761,Active,,,Required,,
1336,S16,fl 2:  Life Ingredients,Type,q:1447095493963:765,Active,,,Required,,
1337,S16,fl 2:  Life Ingredients,Dust,q:1398102147389:435,Passive,,,Required,Text+Image,
1338,S16,fl 2:  Life Ingredients,Meteorites,q:1398102469757:440,Passive,,,Required,Text+Image,
1339,S16,fl 2:  Life Ingredients,Titan,q:1398104559578:461,Passive,,,Required,Text+Image,
1340,S16,fl 2:  Life Ingredients,Organic Molecules,q:1398105463381:466,Passive,,,Required,Text+Image,
1341,S16,fl 2:  Life Ingredients,Hydrothermal Vents,q:1398109981584:471,Passive,,,Required,Text+Image,
1342,S16,fl 2:  Life Ingredients,Panspermia,q:1398110557714:476,Passive,,,Required,Text+Image,
1343,S16,fl 2:  Life Ingredients,Summary,q:1398096191620:396,Passive,,,Required,Text,
1344,S16,fl 2:  Application,Instructions,q:1416352694766:263,Passive,,,Required,Text,
1345,S16,fl 2:  Application,Titan,q:1416352694766:271,Active,,,Bank Option,,
1346,S16,fl 2:  Application,Europa,q:1416352694766:275,Active,,,Bank Option,,
1347,S16,fl 2:  Application,Enceladus,q:1416352694766:279,Active,,,Bank Option,,
1348,S16,fl 2:  Application,Mars,q:1416352694766:283,Active,,,Bank Option,,
1349,S16,fl 2:  Application,Venus,q:1416352694766:287,Active,,,Bank Option,,
1350,S16,fl 2:  Application,Mercury,q:1416352694766:291,Active,,,Bank Option,,
1351,S16,fl 2:  Application,Triton,q:1416352694766:295,Active,,,Bank Option,,
1352,S16,fl 2:  Application,Pluto,q:1416352694766:299,Active,,,Bank Option,,
1353,S16,fl 2:  Application,Exit,q:1416352694766:303,Passive,,,Required,Text+Image,
1354,S16,fl 3:  Redox Chemistry,Animals,q:1398121073082:311,Active,,,Bank Option,,
1355,S16,fl 3:  Redox Chemistry,Plants,q:1398121073082:318,Active,,,Bank Option,,
1356,S16,fl 3:  Redox Chemistry,Microbes,q:1398121073082:325,Active,,,Bank Option,,
1357,S16,fl 3:  Redox Chemistry,Survey Results,q:1398121222274:333,Passive,,,Required,Text+Poll Results,
1358,S16,fl 3:  Redox Chemistry,Lecturette:  Tree of Life,q:1398094687985:807,Passive,,,Required,Video,
1359,S16,fl 3:  Redox Chemistry,Metabolism,q:1398094687985:811,Passive,,,Required,Text+Image,
1360,S16,fl 3:  Redox Chemistry,Let's Explore,q:1398094687985:815,Passive,,,Required,Text+Image,
1361,S16,fl 3:  Redox Chemistry,Tutorial - Components,q:1398122542460:348,Active,,,Required,,
1362,S16,fl 3:  Redox Chemistry,Food,q:1416268656363:972,Active,,,Required,,
1363,S16,fl 3:  Redox Chemistry,Food Redox,q:1416268656363:976,Active,,,Required,,
1364,S16,fl 3:  Redox Chemistry,Waste,q:1398094687985:827,Active,,,Required,,
1365,S16,fl 3:  Redox Chemistry,Waste Redox,q:1398123273021:373,Active,,,Required,,
1366,S16,fl 3:  Redox Chemistry,Terminology,q:1398094687985:831,Active,,,Required,,
1367,S16,fl 3:  Redox Chemistry,Aerobic Respiration,q:1416270829695:107,Passive,,,Required,Text+Image,
1368,S16,fl 3:  Redox Chemistry,Lack of Diversity,q:1416271182625:108,Passive,,,Required,Text+Image,
1369,S16,fl 3:  Redox Chemistry,Finding Life,q:1416271535621:109,Passive,,,Required,Text+Image,
1370,S16,fl 3:  Redox Chemistry,Expanding Parameters,q:1416271724722:110,Passive,,,Required,Text+Image,
1371,S16,fl 3:  Redox Chemistry,Alternatives,q:1416270661748:104,Active,,,Required,,
1372,S16,fl 3:  Redox Chemistry,Reduction Potential - Setup,q:1416270661748:105,Active,,,Required,,
1373,S16,fl 3:  Redox Chemistry,Explain,q:1416270661748:105,Active,,,Required,,
1374,S16,fl 3:  Redox Chemistry,Aerobic Respiration,q:1416270661748:106,Active,,,Required,,
1375,S16,fl 3:  Redox Chemistry,Anaerobic,q:1416270661748:107,Active,,,Required,,
1376,S16,fl 3:  Redox Chemistry,Aerobes Energy Yield,q:1416333838800:335,Passive,,,Required,Text+Image,
1377,S16,fl 3:  Redox Chemistry,Anaerobes Ene...,q:1416334014893:343,Passive,,,Required,Text+Image,
1378,S16,fl 3:  Redox Chemistry,Other,q:1416333502762:330,Active,,,Required,,
1379,S16,fl 3:  Redox Chemistry,Finding Life,q:1416335398923:348,Passive,,,Required,Text,
1380,S16,fl 3:  Redox Chemistry,Expanding Parameters,q:1416335398923:352,Passive,,,Required,Text+Image,
1381,S16,fl 3:  Redox Chemistry,Lecturette: Meta...,q:1398094687986:867,Passive,,,Required,Video,
1382,S16,fl 3:  Redox Chemistry,Summary,q:1398125571303:425,Passive,,,Required,Text,
1383,S16,fl 3:  Application,Instructions,q:1416351876291:535,Passive,,,Required,Text,
1384,S16,fl 3:  Application,Combo 1,q:1416351876291:543,Active,,,Bank Option,,
1385,S16,fl 3:  Application,Combo 2,q:1416351876291:547,Active,,,Bank Option,,
1386,S16,fl 3:  Application,Combo 3,q:1416351876291:551,Active,,,Bank Option,,
1387,S16,fl 3:  Application,Combo 4,q:1416351876291:555,Active,,,Bank Option,,
1388,S16,fl 3:  Application,Combo 5,q:1416351876291:559,Active,,,Bank Option,,
1389,S16,fl 3:  Application,Combo 6,q:1416351876291:563,Active,,,Bank Option,,
1390,S16,fl 3:  Application,Combo 7,q:1416351876291:567,Active,,,Bank Option,,
1391,S16,fl 3:  Application,Exit,q:1416351876291:571,Passive,,,Required,Text+Image,
1392,S16,fl 4:  Phototrophy,Survey,q:1398127099996:884,Active,,,Required,,
1393,S16,fl 4:  Phototrophy,Survey Results,q:1398127419413:933,Passive,,,Required,Text+Poll Results,
1394,S16,fl 4:  Phototrophy,Chemotrophy,q:1416342975073:137,Passive,,,Required,Text+Image,
1395,S16,fl 4:  Phototrophy,Phototrophy,q:1416343197214:547,Passive,,,Required,Text+Image,
1396,S16,fl 4:  Phototrophy,Sun Energy,q:1416343299295:552,Passive,,,Required,Text+Image,
1397,S16,fl 4:  Phototrophy,Planet Energy,q:1416343334656:560,Passive,,,Required,Text+Image,
1398,S16,fl 4:  Phototrophy,Atmosphere,q:1416343388038:564,Passive,,,Required,Text+Image,
1399,S16,fl 4:  Phototrophy,Sun Emission,q:1398127149970:920,Active,,,Required,,
1400,S16,fl 4:  Phototrophy,Model Planet,q:1398127149970:924,Passive,,,Required,Text+Sim,
1401,S16,fl 4:  Phototrophy,UVC,q:1416343536800:568,Active,,,Required,,
1402,S16,fl 4:  Phototrophy,UVB,q:1416343580032:573,Active,,,Required,,
1403,S16,fl 4:  Phototrophy,All,q:1416344920289:585,Active,,,Required,,
1404,S16,fl 4:  Phototrophy,Pigments,q:1416346260022:600,Passive,,,Required,Text+Image,
1405,S16,fl 4:  Phototrophy,Bacterio/chlorophyll,q:1416346260022:604,Passive,,,Required,Text+Image,
1406,S16,fl 4:  Phototrophy,Chlorophyll A,q:1398129136402:943,Active,,,Required,,
1407,S16,fl 4:  Phototrophy,Yummy Plant Colors,q:1416347713970:609,Passive,,,Required,Text+Image,
1408,S16,fl 4:  Phototrophy,Bacteriochlorophyll A,q:1398129790464:949,Active,,,Required,,
1409,S16,fl 4:  Phototrophy,Yummy Bacteria Colors,q:1416348234174:618,Passive,,,Required,Text+Image,
1410,S16,fl 4:  Phototrophy,Redox Change,q:1416348598740:623,Active,,,Required,Text+Image,
1411,S16,fl 4:  Phototrophy,Alien Worlds,q:1416350791440:733,Passive,,,Required,Text+Image,
1412,S16,fl 4:  Phototrophy,Lecturette:  Phototrophy,q:1398127149970:928,Passive,,,Required,Video,
1413,S16,fl 4:  Phototrophy,Summary,q:1398127110237:907,Passive,,,Required,Text,
1414,S16,fl 4:  Application,Instructions,q:1416352100619:469,Passive,,,Required,Text,
1415,S16,fl 4:  Application,Planet 1,q:1416352100619:477,Active,,,Bank Option,,
1416,S16,fl 4:  Application,Planet 2,q:1416352100619:481,Active,,,Bank Option,,
1417,S16,fl 4:  Application,Planet 3,q:1416352100619:485,Active,,,Bank Option,,
1418,S16,fl 4:  Application,Exit,q:1416352100619:489,Passive,,,Required,Text+Image,
1419,S16,fl 5:  Biosignatures,Survey,q:1398221285187:942,Active,,,Required,,
1420,S16,fl 5:  Biosignatures,Survey Results,q:1398221285187:949,Passive,,,Required,Text+Poll Results,
1421,S16,fl 5:  Biosignatures,Lecturette:  Biosignatures,q:1398221285187:953,Passive,,,Required,Video,
1422,S16,fl 5:  Biosignatures,Timeline,q:1398221294878:962,Passive,,,Required,Text+Image,
1423,S16,fl 5:  Biosignatures,Lecturette:  Earth Earth,q:1398221294878:966,Passive,,,Required,Video,
1424,S16,fl 5:  Biosignatures,Archean Geochemistry,q:1398221294878:970,Active,,,Required,,
1425,S16,fl 5:  Biosignatures,Methanogens,q:1398221294878:980,Active,,,Required,,
1426,S16,fl 5:  Biosignatures,Sources/Sinks,q:1398221294879:993,Active,,,Required,,
1427,S16,fl 5:  Biosignatures,Positive Signal,q:1398221294879:100,Active,,,Required,,
1428,S16,fl 5:  Biosignatures,False Positive,q:1398221294879:101,Active,,,Required,,
1429,S16,fl 5:  Biosignatures,False Negative,q:1398221294879:101,Active,,,Required,,
1430,S16,fl 5:  Biosignatures,Archean Summary,q:1398221294879:102,Passive,,,Required,Text+Image,
1431,S16,fl 5:  Biosignatures,Bad Biosig,q:1398221294879:102,Passive,,,Required,Text+Image,
1432,S16,fl 5:  Biosignatures,Map - Australia,q:1398221304884:103,Passive,,,Required,Text+Image,
1433,S16,fl 5:  Biosignatures,Map - Shark Bay,q:1398221304884:103,Passive,,,Required,Text+Image,
1434,S16,fl 5:  Biosignatures,Shearers' Quarters,q:1398221304884:104,Passive,,,Required,Text+Image,
1435,S16,fl 5:  Biosignatures,Inside,q:1398221304884:104,Passive,,,Required,Text+Image,
1436,S16,fl 5:  Biosignatures,Redbacks,q:1398221304884:105,Passive,,,Required,Text+Image,
1437,S16,fl 5:  Biosignatures,Signs of Life,q:1398221304884:105,Active,,,Required,,
1438,S16,fl 5:  Biosignatures,Stromatolites,q:1398221304884:106,Passive,,,Required,Text+Image,
1439,S16,fl 5:  Biosignatures,Cyano Intro,q:1398221304884:107,Passive,,,Required,Text+Image,
1440,S16,fl 5:  Biosignatures,Map - Australia,q:1398221304884:107,Passive,,,Required,Text+Image,
1441,S16,fl 5:  Biosignatures,Knossos,q:1398221304884:107,Passive,,,Required,Text+Image,
1442,S16,fl 5:  Biosignatures,Knossos - Stroms,q:1398221304884:108,Passive,,,Required,Text+Image,
1443,S16,fl 5:  Biosignatures,Comparison,q:1398221304885:108,Passive,,,Required,Text+Image,
1444,S16,fl 5:  Biosignatures,Knossos - Cross,q:1398221304885:109,Passive,,,Required,Text+Image,
1445,S16,fl 5:  Biosignatures,Map - Australia,q:1398221304885:109,Passive,,,Required,Text+Image,
1446,S16,fl 5:  Biosignatures,North Pole,q:1398221304885:109,Passive,,,Required,Text+Image,
1447,S16,fl 5:  Biosignatures,North Pole - Stroms,q:1398221304885:110,Passive,,,Required,Text+Image,
1448,S16,fl 5:  Biosignatures,North Pole - Cross,q:1398221304885:110,Passive,,,Required,Text+Image,
1449,S16,fl 5:  Biosignatures,Strom Antiquity,q:1398221304885:111,Active,,,Required,,
1450,S16,fl 5:  Biosignatures,Oxygen World,q:1398221304885:111,Passive,,,Required,Text+Image,
1451,S16,fl 5:  Biosignatures,Sources v. Sinks,q:1398221304885:111,Active,,,Required,,
1452,S16,fl 5:  Biosignatures,Map - Australia,q:1398221304885:112,Passive,,,Required,Text+Image,
1453,S16,fl 5:  Biosignatures,Dales Gorge,q:1398221304885:112,Passive,,,Required,Text+Image,
1454,S16,fl 5:  Biosignatures,Dales Gorge - BIFs,q:1398221304885:113,Passive,,,Required,Text+Image,
1455,S16,fl 5:  Biosignatures,BIF Antiquity,q:1398221304885:113,Active,,,Required,,
1456,S16,fl 5:  Biosignatures,Discrepancy,q:1398221304885:113,Active,,,Required,,
1457,S16,fl 5:  Biosignatures,Lecturette: GOE,q:1398221304885:114,Passive,,,Required,Video,
1458,S16,fl 5:  Biosignatures,Summary,q:1398221313411:114,Passive,,,Required,Text,
1459,S16,fl 5:  Application,Instructions,q:1416352434948:811,Passive,,,Required,Text,
1460,S16,fl 5:  Application,Option 1,q:1416352434948:819,Active,,,Bank Option,,
1461,S16,fl 5:  Application,Option 2,q:1416352434948:823,Active,,,Bank Option,,
1462,S16,fl 5:  Application,Option 3,q:1416352434948:827,Active,,,Bank Option,,
1463,S16,fl 5:  Application,Option 4,q:1416352434948:831,Active,,,Bank Option,,
1464,S16,fl 5:  Application,Exit,q:1416352434948:835,Passive,,,Required,Text+Image,
1465,S16,fi 1:  Oxygen and Life,Introduction,q:1416601285624:125,Passive,,,Required,Text+Image,
1466,S16,fi 1:  Oxygen and Life,Survey,q:1416601285624:129,Active,,,Required,,
1467,S16,fi 1:  Oxygen and Life,Survey Results,q:1416601285624:135,Passive,,,Required,Text+Poll Results,
1468,S16,fi 1:  Oxygen and Life,Stimulus,q:1416602902971:172,Passive,,,Required,Text+Image,
1469,S16,fi 1:  Oxygen and Life,Organism,q:1416603655375:176,Passive,,,Required,Text+Image,
1470,S16,fi 1:  Oxygen and Life,Neurons,q:1416603743429:180,Passive,,,Required,Text+Image,
1471,S16,fi 1:  Oxygen and Life,Earth Lifetime,q:1416604021981:189,Active,,,Required,,
1472,S16,fi 1:  Oxygen and Life,Bio Explore,q:1416605012262:208,Passive,,,Required,Text+Image,
1473,S16,fi 1:  Oxygen and Life,Bio Site Exploration,q:1416601285624:143,Active,,,Required,,
1474,S16,fi 1:  Oxygen and Life,Life Division,q:1416607449314:226,Active,,,Required,,
1475,S16,fi 1:  Oxygen and Life,Geo Explore,q:1416608455888:239,Passive,,,Required,Text+Image,
1476,S16,fi 1:  Oxygen and Life,Geo Site Exploration,q:1416608891311:244,Active,,,Required,,
1477,S16,fi 1:  Oxygen and Life,All Explore,q:1416610465164:257,Passive,,,Required,Text+Image,
1478,S16,fi 1:  Oxygen and Life,Add Oxygen,q:1416611149759:263,Passive,,,Required,Text+Image,
1479,S16,fi 1:  Oxygen and Life,Add Snowballs,q:1416611341508:269,Passive,,,Required,Text+Image,
1480,S16,fi 1:  Oxygen and Life,Cell Energy,q:1416605126979:213,Active,,,Required,,
1481,S16,fi 1:  Oxygen and Life,Cause and Effect,q:1416612797722:297,Passive,,,Required,Text+Image,
1482,S16,fi 1:  Oxygen and Life,Summary,q:1416853009467:861,Passive,,,Required,Text,
1483,S16,fi 1:  Application,Instructions,q:1416980260720:204,Passive,,,Required,Text,
1484,S16,fi 1:  Application,Intelligence Test,q:1416980260720:208,Active,,,Required,,
1485,S16,fi 1:  Application,Exit,q:1416980260720:212,Passive,,,Required,Text+Image,
1486,S16,fi 2:  Evolution,Survey,q:1416854644444:141,Active,,,Required,,
1487,S16,fi 2:  Evolution,Survey Results,q:1416854644444:147,Passive,,,Required,Text+Poll Results,
1488,S16,fi 2:  Evolution,Red/Green,q:1416854651648:160,Active,,,Bank Option,,
1489,S16,fi 2:  Evolution,Blue/White,q:1416862487780:236,Active,,,Bank Option,,
1490,S16,fi 2:  Evolution,Orange,q:1416862555147:241,Active,,,Bank Option,,
1491,S16,fi 2:  Evolution,Survey Results,q:1416868402415:256,Passive,,,Required,Text+Poll Results,
1492,S16,fi 2:  Evolution,Reproduction,q:1416869699028:261,Active,,,Required,,
1493,S16,fi 2:  Evolution,Generation 2,q:1416870005494:265,Active,,,Required,,
1494,S16,fi 2:  Evolution,Variation,q:1416854651648:180,Active,,,Required,,
1495,S16,fi 2:  Evolution,Environment,q:1416870483259:272,Passive,,,Required,Text+Image,
1496,S16,fi 2:  Evolution,Population,q:1416870483259:276,Passive,,,Required,Text+Image,
1497,S16,fi 2:  Evolution,Selection,q:1416870830304:280,Passive,,,Required,Text+Image,
1498,S16,fi 2:  Evolution,Short Timescales,q:1416871351086:285,Passive,,,Required,Text+Image,
1499,S16,fi 2:  Evolution,Population,q:1416871351086:289,Passive,,,Required,Text+Image,
1500,S16,fi 2:  Evolution,Evolution,q:1416871738420:298,Passive,,,Required,Text+Image,
1501,S16,fi 2:  Evolution,Individuals,q:1416871738420:302,Passive,,,Required,Text+Image,
1502,S16,fi 2:  Evolution,Depictions,q:1416939793196:921,Passive,,,Required,Text+Image,
1503,S16,fi 2:  Evolution,Explanation,q:1416939793196:925,Passive,,,Required,Text+Image,
1504,S16,fi 2:  Evolution,Slow Change,q:1416872217425:307,Passive,,,Required,Text+Image,
1505,S16,fi 2:  Evolution,Fast Change,q:1416872217425:311,Passive,,,Required,Text+Image,
1506,S16,fi 2:  Evolution,Full Timeline,q:1416872998394:320,Passive,,,Required,Text+Image,
1507,S16,fi 2:  Evolution,Mass Extinctions,q:1416873365532:332,Passive,,,Required,Text+Image,
1508,S16,fi 2:  Evolution,Brains,q:1416875340417:337,Passive,,,Required,Text+Image,
1509,S16,fi 2:  Evolution,Fast Change,q:1416875340417:341,Passive,,,Required,Text+Image,
1510,S16,fi 2:  Evolution,Conclusion,q:1416854644444:137,Passive,,,Required,Text+Image,
1511,S16,fi 2:  Evolution,Summary,q:1416854659866:225,Passive,,,Required,Text,
1512,S16,fi 2:  Application,Instructions,q:1416980461967:978,Passive,,,Required,Text,
1513,S16,fi 2:  Application,Evolution Test,q:1416980461967:982,Active,,,Required,,
1514,S16,fi 2:  Application,Exit,q:1416980461967:986,Passive,,,Required,Text+Image,
1515,S16,fc:  Civilization and Energy,Introduction,q:1416953083304:254,Passive,,,Required,Text+Image,
1516,S16,fc:  Civilization and Energy,Evolution,q:1416953199111:269,Passive,,,Required,Text+Image,
1517,S16,fc:  Civilization and Energy,Social Insects,q:1416953289844:274,Passive,,,Required,Text+Image,
1518,S16,fc:  Civilization and Energy,Energy Usage,q:1416954092837:279,Passive,,,Required,Text+Image,
1519,S16,fc:  Civilization and Energy,Ancient Energy,q:1416954182212:288,Passive,,,Required,Text+Image,
1520,S16,fc:  Civilization and Energy,Modern Energy,q:1416954165152:284,Passive,,,Required,Text+Image,
1521,S16,fc:  Civilization and Energy,New Energy,q:1416954675938:292,Passive,,,Required,Text+Image,
1522,S16,fc:  Civilization and Energy,Electricity,q:1416954802608:297,Passive,,,Required,Text+Image,
1523,S16,fc:  Civilization and Energy,Waste,q:1416955167661:305,Passive,,,Required,Text+Image,
1524,S16,fc:  Civilization and Energy,Waste Effect,q:1416955263911:310,Passive,,,Required,Text+Image,
1525,S16,fc:  Civilization and Energy,Energy Usage,q:1416956620559:319,Passive,,,Required,Text+Image,
1526,S16,fc:  Civilization and Energy,Communication,q:1416956641373:324,Passive,,,Required,Text+Image,
1527,S16,fc:  Civilization and Energy,Others,q:1416957469766:333,Passive,,,Required,Text+Image,
1528,S16,fc:  Civilization and Energy,Conclusion,q:1416956825633:329,Passive,,,Required,Text+Image,
1529,S16,fc:  Application,Instructions,q:1416981152344:660,Passive,,,Required,Text,
1530,S16,fc:  Application,Civilization Test,q:1416981152344:664,Active,,,Required,,
1531,S16,fc:  Application,Exit,q:1416981152344:668,Passive,,,Required,Text+Image,
1532,S16,L:  Doomsday,Introduction,q:1398390561838:669,Passive,,,Required,Text+Image,
1533,S16,L:  Doomsday,Survey,q:1398390551814:660,Active,,,Required,,
1534,S16,L:  Doomsday,Survey Results,q:1398390551814:664,Passive,,,Required,Text+Poll Results,
1535,S16,L:  Doomsday,Industrial Activity,q:1398390577315:678,Passive,,,Required,Text+Image,
1536,S16,L:  Doomsday,Sources and Sinks,q:1398390577315:682,Active,,,Required,,
1537,S16,L:  Doomsday,Effect,q:1398390577315:686,Active,,,Required,,
1538,S16,L:  Doomsday,Feedbacks,q:1398390577315:690,Active,,,Required,,
1539,S16,L:  Doomsday,Introduction,q:1398390577315:699,Passive,,,Required,Text+Sim,
