Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Exit,fl 3:  Application,Passive,Required,Text+Image,-3.61,19.348,2013-08-16T23:15:31.198,,336,2007,336,1927-12-01T00:00:00,,0.0335
Neptune Composition,fp 3:  Planet Composition,Active,Required,unknown,-22.793,11.541,2013-08-16T23:11:38.025,,337,1999,337,1928-01-01T00:00:00,,0.0336
Intro,ne 10:  Ancient Climates,Passive,Required,Text+Image,-2.0665,22.733,2013-08-16T22:55:34.1,,338,1947,338,1928-02-01T00:00:00,,0.0337
Intro,ne 10:  Ancient Climates,Passive,Required,Text+Image,-2.0665,22.733,2013-08-16T22:53:07.214,,339,1974,339,1928-03-01T00:00:00,,0.0338
Intro,ne 10:  Ancient Climates,Passive,Required,Text+Image,14.253,-0.49657,2013-08-16T22:50:21.529,,340,1991,340,1928-04-01T00:00:00,,0.0339
Intro,ne 10:  Ancient Climates,Passive,Required,Text+Image,14.253,-0.49657,2013-08-16T22:49:15.543,,341,1984,341,1928-05-01T00:00:00,,0.034
Combo 7,fl 1:  Application,Active,Bank Option,unknown,-12.659,6.7355,2013-08-16T22:48:20.415,,342,1839,342,1928-06-01T00:00:00,,0.0341
Albedo Review,ne 10:  Ancient Climates,Active,Required,unknown,-1.8224,22.588,2013-08-16T22:42:17.885,,343,1978,343,1928-07-01T00:00:00,,0.0342
Survey Intro,Intro 1:  Preconceptions,Passive,Required,Text,-22.762,10.923,2013-08-16T22:40:24.031,,344,1812,344,1928-08-01T00:00:00,,0.0343
Evaluation 3,fp 1:  Application,Active,Bank Option,unknown,-7.1018,-3.7542,2013-08-16T22:35:27.668,,345,1957,345,1928-09-01T00:00:00,,0.0344
Expanding Parameters,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-2.8638,22.472,2013-08-16T22:32:56.846,,346,1838,346,1928-10-01T00:00:00,,0.0345
Expanding Parameters,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-2.8638,22.472,2013-08-16T22:31:32.143,,347,1887,347,1928-11-01T00:00:00,,0.0346
Expanding Parameters,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-0.7802,19.537,2013-08-16T22:29:49.609,,348,2007,348,1928-12-01T00:00:00,,0.0347
Expanding Parameters,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-0.7802,19.537,2013-08-16T22:28:23.878,,349,1910,349,1929-01-01T00:00:00,,0.0348
Instability,ne 5:  Climate,Passive,Required,Text+Image,24.721,-6.542,2013-08-16T22:23:57.969,,350,1984,350,1929-02-01T00:00:00,,0.0349
Conclusion,fc:  Civilization and Energy,Passive,Required,Text+Image,5.9718,-6.4898,2013-08-16T22:23:11.295,,351,1937,351,1929-03-01T00:00:00,,0.035
Passed Light,fp 1:  Transits,Active,Required,unknown,-6.3217,10.278,2013-08-16T22:21:55.568,,352,1905,352,1929-04-01T00:00:00,,0.0351
Hydrogen,R* 6:  Elements,Passive,Required,Text+Image,-15.015,-12.115,2013-08-16T22:15:57.117,,353,1923,353,1929-05-01T00:00:00,,0.0352
Light Curve Info,fp 1:  Transits,Passive,Required,Text+Image,-6.4885,10.712,2013-08-16T22:11:35.768,,354,1863,354,1929-06-01T00:00:00,,0.0353
Humans,Intro 4:  Time,Active,Required,unknown,2.835,-23.929,2013-08-16T22:09:57.872,,355,1853,355,1929-07-01T00:00:00,,0.0354
Lecturette:  Radius Calculation,fp 1:  Transits,Passive,Required,Video,-3.222,6.0698,2013-08-16T22:08:22.678,,356,1858,356,1929-08-01T00:00:00,,0.0355
Summary,ne 8:  Inorganic Carbon Cycle,Passive,Required,Text,12.489,21.143,2013-08-16T22:01:42.86,,357,1915,357,1929-09-01T00:00:00,,0.0356
Refresher - Atoms,ne 3:  Gasses,Passive,Required,Text+Image,-27.051,-20.637,2013-08-16T21:59:41.315,,358,1474,358,1929-10-01T00:00:00,,0.0357
Titan,fl 2:  Application,Active,Bank Option,unknown,-12.21,13.7,2013-08-16T21:58:00.881,,359,1969,359,1929-11-01T00:00:00,,0.0358
Original Review,ne 7:  Age Dating,Passive,Required,Text+Image,10.284,-21.67,2013-08-16T21:53:48.731,,360,1941,360,1929-12-01T00:00:00,,0.0359
Exoplanets,fp 1:  Transits,Passive,Required,Text+Image,0.28436,-0.84835,2013-08-16T21:53:22.744,,361,1905,361,1930-01-01T00:00:00,,0.036
Energy,Science Literacy,Active,Required,unknown,-20.711,8.3488,2013-08-16T21:51:33.341,,362,1916,362,1930-02-01T00:00:00,,0.0361
Enceladus,fl 2:  Application,Active,Bank Option,unknown,-12.229,14.158,2013-08-16T21:44:51.35,,363,1976,363,1930-03-01T00:00:00,,0.0362
Obs 3,Intro 2:  Mindscape,Active,Bank Option,unknown,-6.6347,11.295,2013-08-16T21:40:24.529,,364,1916,364,1930-04-01T00:00:00,,0.0363
Event 2,Intro 6:  Drake Conjecture,Active,Required,unknown,9.45,11.479,2013-08-16T21:37:31.715,,365,1823,365,1930-05-01T00:00:00,,0.0364
Phases of Water,ne 5:  Climate,Passive,Required,Text,25.904,-7.2429,2013-08-16T21:36:36.801,,366,1949,366,1930-06-01T00:00:00,,0.0365
Choose Formations,ne 7:  Age Dating,Active,Required,unknown,9.4364,-13.736,2013-08-16T21:34:39.987,,367,1933,367,1930-07-01T00:00:00,,0.0366
Complex Cells,Intro 4:  Time,Active,Required,unknown,-8.9163,-22.191,2013-08-16T21:30:29.947,,368,1989,368,1930-08-01T00:00:00,,0.0367
Formation Time,ne 7:  Age Dating,Active,Required,unknown,9.4942,-13.835,2013-08-16T21:29:14.669,,369,2000,369,1930-09-01T00:00:00,,0.0368
Hard to See,fp 1:  Transits,Passive,Required,Text,0.24193,2.8776,2013-08-16T21:28:18.734,,370,1935,370,1930-10-01T00:00:00,,0.0369
Inclinations,fp 1:  Transits,Passive,Required,Text+Video,-0.071854,11.554,2013-08-16T21:26:54.173,,371,1927,371,1930-11-01T00:00:00,,0.037
Refresher - Runaway GH Compare,L:  Doomsday,Active,Optional,unknown,6.1047,25.99,2013-08-16T21:22:09.351,,372,1976,372,1930-12-01T00:00:00,,0.0371
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-24.525,-9.4892,2013-08-16T21:20:39.004,,373,1868,373,1931-01-01T00:00:00,,0.0372
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-24.525,-9.4892,2013-08-16T21:19:00.958,,374,1933,374,1931-02-01T00:00:00,,0.0373
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-24.525,-9.4892,2013-08-16T21:16:42.427,,375,1990,375,1931-03-01T00:00:00,,0.0374
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-24.525,-9.4892,2013-08-16T21:14:39.374,,376,1846,376,1931-04-01T00:00:00,,0.0375
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-15.674,-10.313,2013-08-16T21:08:02.766,,377,1903,377,1931-05-01T00:00:00,,0.0376
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-15.674,-10.313,2013-08-16T21:06:15.297,,378,1990,378,1931-06-01T00:00:00,,0.0377
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-15.674,-10.313,2013-08-16T21:04:38.35,,379,2002,379,1931-07-01T00:00:00,,0.0378
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-15.674,-10.313,2013-08-16T21:02:56.785,,380,1859,380,1931-08-01T00:00:00,,0.0379
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-20.747,-9.0301,2013-08-16T21:00:57.846,,381,1876,381,1931-09-01T00:00:00,,0.038
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-20.747,-9.0301,2013-08-16T20:57:57.231,,382,1998,382,1931-10-01T00:00:00,,0.0381
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-20.747,-9.0301,2013-08-16T20:50:31.511,,383,1949,383,1931-11-01T00:00:00,,0.0382
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-20.747,-9.0301,2013-08-16T20:49:06.954,,384,1910,384,1931-12-01T00:00:00,,0.0383
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-17.069,9.0051,2013-08-16T20:46:57.403,,385,1940,385,1932-01-01T00:00:00,,0.0384
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-17.069,9.0051,2013-08-16T20:43:11.515,,386,1688,386,1932-02-01T00:00:00,,0.0385
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-17.069,9.0051,2013-08-16T20:41:45.021,,387,2001,387,1932-03-01T00:00:00,,0.0386
Map - Australia,fl 5:  Biosignatures,Passive,Required,Text+Image,-17.069,9.0051,2013-08-16T20:40:00.507,,388,1835,388,1932-04-01T00:00:00,,0.0387
Results,R* 2:  Brightness,Passive,Required,Text+Video,-17.808,-18.488,2013-08-16T20:31:14.56,,389,1900,389,1932-05-01T00:00:00,,0.0388
Transit Definition,fp 1:  Transits,Passive,Required,Text+Image,0.56571,5.6284,2013-08-16T20:26:09.993,,390,1855,390,1932-06-01T00:00:00,,0.0389
Summary,R* 5:  Stellar Lifecycles,Passive,Required,Text+Video,-3.4984,-16.842,2013-08-16T20:20:18.566,,391,1938,391,1932-07-01T00:00:00,,0.039
About Kepler,fp 1:  Transits,Passive,Required,Text+Image,0.60891,7.0037,2013-08-16T20:17:24.706,,392,1941,392,1932-08-01T00:00:00,,0.0391
Exit,ne 9:  Application,Passive,Required,Text+Image,-3.1766,23.577,2013-08-16T20:16:23.77,,393,1901,393,1932-09-01T00:00:00,,0.0392
Rain,ne 5:  Climate,Passive,Required,Text+Image,23.747,7.328,2013-08-16T20:13:27.47,,394,1938,394,1932-10-01T00:00:00,,0.0393
Instructions,ne 7:  Application,Passive,Required,Text,14.244,-0.12683,2013-08-16T20:12:07.839,,395,1840,395,1932-11-01T00:00:00,,0.0394
Blue Star,R* 4:  H-R Diagram,Active,Required,unknown,0.37201,-11.461,2013-08-16T20:09:59.657,,396,1951,396,1932-12-01T00:00:00,,0.0395
Unusual Atmospheres,fp 4:  Atmospheres,Active,Required,unknown,-18.897,13.286,2013-08-16T20:07:54.851,,397,1894,397,1933-01-01T00:00:00,,0.0396
Significance,ne 6:  Planetary Evolution,Passive,Required,Text+Image,1.6672,8.95,2013-08-16T20:06:08.349,,398,1880,398,1933-02-01T00:00:00,,0.0397
Numbers,Science Literacy,Active,Required,unknown,-12.521,5.2267,2013-08-16T20:04:40.165,,399,1950,399,1933-03-01T00:00:00,,0.0398
Climate Change,L:  Doomsday,Passive,Required,Text+Image,10.166,25.235,2013-08-16T20:00:44.473,,400,1962,400,1933-04-01T00:00:00,,0.0399
Planets - Geomorphic Resurfacing,ne 6:  Planetary Evolution,Active,Required,unknown,14.46,-7.0248,2013-08-16T19:53:25.894,,401,1939,401,1933-05-01T00:00:00,,0.04
Sources and Sinks,L:  Doomsday,Active,Required,unknown,12.642,-2.2071,2013-08-16T19:47:32.377,,402,1934,402,1933-06-01T00:00:00,,0.0401
Evaluation 4,R* 3:  Application,Active,Bank Option,unknown,-4.8337,-6.2294,2013-08-16T19:44:48.63,,403,1897,403,1933-07-01T00:00:00,,0.0402
Evaluation 4,R* 3:  Application,Active,Bank Option,unknown,-4.8337,-6.2294,2013-08-16T19:43:04.584,,404,1903,404,1933-08-01T00:00:00,,0.0403
Outcrop Properties,ne 7:  Age Dating,Passive,Required,Text+Image,9.4837,-21.052,2013-08-16T19:40:44.72,,405,1949,405,1933-09-01T00:00:00,,0.0404
Instructions,fl 1:  Application,Passive,Required,Text,-12.632,6.1603,2013-08-16T19:39:38.573,,406,1886,406,1933-10-01T00:00:00,,0.1
Dales Gorge - BIFs,fl 5:  Biosignatures,Passive,Required,Text+Image,11.522,-1.8845,2013-08-16T19:34:39.61,,407,1991,407,1933-11-01T00:00:00,,0.12
Atomic Symbols,Science Literacy,Passive,Required,Text+Image,-18.368,7.659,2013-08-16T19:29:58.52,,408,1911,408,1933-12-01T00:00:00,,0.14
Experiment,ne 10:  Ancient Climates,Passive,Required,Text+Image,11.701,-3.0062,2013-08-16T19:22:17.192,,409,1949,409,1934-01-01T00:00:00,,0.16
Combo 2,fp 3:  Application,Active,Bank Option,unknown,-22.204,-3.2385,2013-08-16T19:20:52.184,,410,1902,410,1934-02-01T00:00:00,,0.18
Combo 2,fp 3:  Application,Active,Bank Option,unknown,-22.204,-3.2385,2013-08-16T19:18:21.246,,411,1845,411,1934-03-01T00:00:00,,0.2
Original Rocks,ne 7:  Age Dating,Active,Required,unknown,12.399,-21.413,2013-08-16T19:17:00.053,,412,1949,412,1934-04-01T00:00:00,,0.22
Exit,ne 2:  Application,Passive,Required,Text+Image,-26.424,-21.612,2013-08-16T19:15:12.945,,413,1836,413,1934-05-01T00:00:00,,0.24
Discrepancy,fl 5:  Biosignatures,Active,Required,unknown,12.418,-2.0761,2013-08-16T19:13:49.151,,414,1938,414,1934-06-01T00:00:00,,0.26
Process Knowledge,Intro 1:  Preconceptions,Active,Required,unknown,-12.844,15.387,2013-08-16T19:11:20.779,,415,1942,415,1934-07-01T00:00:00,,0.28
Alien Worlds,fl 4:  Phototrophy,Passive,Required,Text+Image,-4.761,21.382,2013-08-16T19:10:09.79,,416,1996,416,1934-08-01T00:00:00,,0.3
Exit,R* 6:  Application,Passive,Required,Text+Image,0.52358,-9.9832,2013-08-16T19:07:41.282,,417,1933,417,1934-09-01T00:00:00,,0.32
Decreasing CO2,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,8.0869,25.693,2013-08-16T19:04:33.096,,418,1954,418,1934-10-01T00:00:00,,0.34
Bias,fp 1:  Transits,Passive,Required,Text,-3.0394,-0.11483,2013-08-16T18:53:34.749,,419,1969,419,1934-11-01T00:00:00,,0.36
Planck Function,fp 2:  Radial Velocity,Passive,Required,Text+Image,-3.8703,-17.965,2013-08-16T18:52:57.374,,420,1935,420,1934-12-01T00:00:00,,0.38
Orbital Radius,ne 2:  Energy Balance,Active,Required,unknown,-17.153,-11.501,2013-08-16T18:47:53.875,,421,1916,421,1935-01-01T00:00:00,,0.4
Spectrum - Emit,R* 6:  Elements,Active,Required,unknown,-16.132,-13.266,2013-08-16T18:43:44.504,,422,1896,422,1935-02-01T00:00:00,,0.42
Euro Basalt,ne 7:  Age Dating,Passive,Required,Text+Image,21.168,-9.8922,2013-08-16T18:42:19.806,,423,1882,423,1935-03-01T00:00:00,,0.44
Reflection,Intro 5:  The Scientific Process,Passive,Required,Video+Poll Results,11.641,9.0818,2013-08-16T18:40:09.345,,424,1906,424,1935-04-01T00:00:00,,0.46
IR Behavior,ne 3:  Gasses,Active,Required,unknown,-2.9062,-5.381,2013-08-16T18:38:23.098,,425,1848,425,1935-05-01T00:00:00,,0.48
Blueshift,fp 2:  Radial Velocity,Active,Required,unknown,0.037589,-13.18,2013-08-16T18:38:19.946,,426,1993,426,1935-06-01T00:00:00,,0.5
Spectra,R* 6:  Elements,Passive,Required,Text+Image,-15.636,-11.815,2013-08-16T18:35:45.814,,427,1897,427,1935-07-01T00:00:00,,0.52
Rivers --> Ocean,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-17.905,-6.5621,2013-08-16T18:33:21.669,,428,1907,428,1935-08-01T00:00:00,,0.54
Instructions,ne 5:  Application,Passive,Required,Text,16.277,12.103,2013-08-16T18:28:05.71,,429,1917,429,1935-09-01T00:00:00,,0.56
Survey,ne 10:  Ancient Climates,Active,Required,unknown,-2.9675,23.389,2013-08-16T18:26:29.418,,430,1813,430,1935-10-01T00:00:00,,0.58
Survey,ne 10:  Ancient Climates,Passive,Required,Text+Image,-2.9675,23.389,2013-08-16T18:24:56.204,,431,1955,431,1935-11-01T00:00:00,,0.6
Survey,ne 10:  Ancient Climates,Active,Required,unknown,-16.141,-13.942,2013-08-16T18:20:40.224,,432,1893,432,1935-12-01T00:00:00,,0.62
Survey,ne 10:  Ancient Climates,Passive,Required,Text+Image,-16.141,-13.942,2013-08-16T18:17:38.019,,433,1879,433,1936-01-01T00:00:00,,0.64
Survey,R* 2:  Brightness,Active,Required,unknown,-4.722,-18.464,2013-08-16T18:13:35.528,,434,1918,434,1936-02-01T00:00:00,,0.66
Instructions,ne 4:  Application,Passive,Required,Text,16.997,2.2184,2013-08-16T18:09:29.66,,435,1860,435,1936-03-01T00:00:00,,0.68
Lecturette - Element Formation,R* 6:  Elements,Active,Required,unknown,-10.289,-21.26,2013-08-16T18:02:06.425,,436,1949,436,1936-04-01T00:00:00,,0.7
Aerobes Energy Yield,fl 3:  Redox Chemistry,Passive,Required,Text+Image,-0.14594,20.277,2013-08-16T17:59:09.79,,437,1880,437,1936-05-01T00:00:00,,0.72
Closer/Farther,R* 1:  Distance to Stars,Active,Required,unknown,4.3813,-19.093,2013-08-16T17:58:46.601,,438,1962,438,1936-06-01T00:00:00,,0.74
Water Zone,ne 2:  Energy Balance,Active,Required,unknown,-22.971,-21.463,2013-08-16T17:55:53.43,,439,1861,439,1936-07-01T00:00:00,,0.76
Effective Temperature,ne 2:  Energy Balance,Passive,Required,Text+Image,-16.548,-14.046,2013-08-16T17:54:53.634,,440,1976,440,1936-08-01T00:00:00,,0.78
Depictions,fi 2:  Evolution,Passive,Required,Text+Image,2.1682,9.2956,2013-08-16T17:52:31.46,,441,1951,441,1936-09-01T00:00:00,,0.8
Explanation,R* 2:  Brightness,Passive,Required,Text+Image,-24.946,-19.904,2013-08-16T17:43:20.933,,442,1927,442,1936-10-01T00:00:00,,0.82
Animals,fl 3:  Redox Chemistry,Active,Bank Option,unknown,-11.91,15.08,2013-08-16T17:41:42.301,,443,2004,443,1936-11-01T00:00:00,,0.84
Yummy Bacteria Colors,fl 4:  Phototrophy,Passive,Required,Text+Image,-4.9233,22.369,2013-08-16T17:39:32.393,,444,1949,444,1936-12-01T00:00:00,,0.86
Atom Components,Science Literacy,Active,Required,unknown,-19.067,7.8118,2013-08-16T17:37:08.682,,445,1926,445,1937-01-01T00:00:00,,0.88
Move the Planet,ne 2:  Energy Balance,Active,Required,unknown,-22.629,-21.293,2013-08-16T17:34:36.782,,446,1988,446,1937-02-01T00:00:00,,0.9
RH - Temp/Phase,ne 10:  Ancient Climates,Active,Optional,unknown,-13.731,-13.324,2013-08-16T17:32:45.989,,447,1918,447,1937-03-01T00:00:00,,0.92
Introduction,fi 1:  Oxygen and Life,Passive,Required,Text+Image,14.71,-0.467,2013-08-16T17:30:28.27,,448,2012,448,1937-04-01T00:00:00,,0.94
Suberial Basalts,ne 7:  Age Dating,Active,Required,unknown,15.974,-20.7,2013-08-16T17:29:54.95,,449,1974,449,1937-05-01T00:00:00,,0.0397
Sequence 6,ne 7:  Age Dating,Active,Required,unknown,25.801,-6.3421,2013-08-16T17:28:29.289,,450,1907,450,1937-06-01T00:00:00,,0.0398
Star,fl 2:  Life Ingredients,Active,Required,unknown,-14.334,6.0701,2013-08-16T17:25:37.289,,451,1906,451,1937-07-01T00:00:00,,0.0399
Recipe,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,11.534,14.718,2013-08-16T17:24:59.713,,452,1851,452,1937-08-01T00:00:00,,0.04
Recipe,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,11.534,14.718,2013-08-16T17:24:07.962,,453,1841,453,1937-09-01T00:00:00,,0.0401
Recipe,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,10.647,13.81,2013-08-16T17:23:23.748,,454,1878,454,1937-10-01T00:00:00,,0.0402
Recipe,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,10.647,13.81,2013-08-16T17:21:41.239,,455,1857,455,1937-11-01T00:00:00,,0.0403
Drake Equation,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,8.4377,-8.6025,2013-08-16T17:18:42.084,,456,1868,456,1937-12-01T00:00:00,,0.0404
Planet Patterns,ne 6:  Planetary Evolution,Passive,Required,Text+Image,15.596,-8.2526,2013-08-16T17:18:09.799,,457,1950,457,1938-01-01T00:00:00,,0.1
Identify System,Intro 6:  Drake Conjecture,Active,Required,unknown,11.064,14.284,2013-08-16T17:15:37.731,,458,1927,458,1938-02-01T00:00:00,,0.12
Red Star,R* 4:  H-R Diagram,Active,Required,unknown,0.43148,-11.553,2013-08-16T17:13:22.209,,459,1836,459,1938-03-01T00:00:00,,0.14
Evaluation 5,R* 1:  Application,Active,Bank Option,unknown,-4.4065,-18.053,2013-08-16T17:03:40.745,,460,1824,460,1938-04-01T00:00:00,,0.16
Membrane,fl 1:  Defining Life,Passive,Required,Text+Image,-22.875,-0.58349,2013-08-16T17:02:13.73,,461,1950,461,1938-05-01T00:00:00,,0.18
Method,fp 1:  Transits,Active,Required,unknown,-2.6405,16.685,2013-08-16T16:58:25.636,,462,1991,462,1938-06-01T00:00:00,,0.2
Slow Progress,Intro 5:  The Scientific Process,Passive,Required,Text+Image,13.609,-20.875,2013-08-16T16:58:01.353,,463,1989,463,1938-07-01T00:00:00,,0.22
Lecturette - Element Abundances,R* 6:  Elements,Passive,Required,Video,-9.9109,-21.499,2013-08-16T16:54:58.968,,464,1924,464,1938-08-01T00:00:00,,0.24
Mass vs. Retention,fp 4:  Atmospheres,Active,Required,unknown,-23.369,1.7919,2013-08-16T16:48:24.777,,465,1908,465,1938-09-01T00:00:00,,0.26
Add Oxygen,fi 1:  Oxygen and Life,Passive,Required,Text+Image,20.264,3.4407,2013-08-16T16:41:59.489,,466,1903,466,1938-10-01T00:00:00,,0.28
Difference,ne 5:  Climate,Active,Required,unknown,24.787,-6.1375,2013-08-16T16:40:04.905,,467,1917,467,1938-11-01T00:00:00,,0.3
Bias,fp 2:  Radial Velocity,Active,Required,unknown,14.174,15.69,2013-08-16T16:38:03.42,,468,1988,468,1938-12-01T00:00:00,,0.32
Wien's Law,R* 3:  Color,Passive,Required,Text,-4.2617,2.0076,2013-08-16T16:34:07.264,,469,1812,469,1939-01-01T00:00:00,,0.34
Bioessential Elements,fl 1:  Defining Life,Passive,Required,Text+Image,-23.415,2.7,2013-08-16T16:31:53.232,,470,1895,470,1939-02-01T00:00:00,,0.36
Final,R* 2:  Brightness,Passive,Required,Text+Image,-6.769,-21.437,2013-08-16T16:27:38.249,,471,1632,471,1939-03-01T00:00:00,,0.38
Are We Alone?,Intro 5:  The Scientific Process,Passive,Required,Text+Image,17.946,-18.596,2013-08-16T16:27:21.085,,472,1940,472,1939-04-01T00:00:00,,0.4
Uniformitarianism,ne 7:  Age Dating,Passive,Required,Text+Image,16.262,-18.458,2013-08-16T16:25:33.532,,473,1918,473,1939-05-01T00:00:00,,0.42
Evaluation 7,R* 3:  Application,Active,Bank Option,unknown,-5.8204,-3.9915,2013-08-16T16:23:24.229,,474,1830,474,1939-06-01T00:00:00,,0.44
Hypothesis,R* 2:  Brightness,Active,Required,unknown,-7.1545,-21.679,2013-08-16T16:22:13.768,,475,1868,475,1939-07-01T00:00:00,,0.46
Civilization Test,fc:  Application,Active,Required,unknown,18.01,11.298,2013-08-16T16:19:25.116,,476,2011,476,1939-08-01T00:00:00,,0.48
Exit,fp 3:  Application,Passive,Required,Text+Image,-22.264,-0.88575,2013-08-16T16:17:31.245,,477,1806,477,1939-09-01T00:00:00,,0.5
Explanation,fi 2:  Evolution,Passive,Required,Text+Image,1.8948,8.9445,2013-08-16T16:14:29.685,,478,1921,478,1939-10-01T00:00:00,,0.52
Exit,fc:  Application,Passive,Required,Text+Image,5.9546,-6.8251,2013-08-16T16:11:55.932,,479,1885,479,1939-11-01T00:00:00,,0.54
Temps - Generic,R* 3:  Color,Active,Required,unknown,-4.0061,8.4785,2013-08-16T16:09:11.861,,480,1806,480,1939-12-01T00:00:00,,0.56
Survey,ne 9:  Habitable Zone,Active,Required,unknown,12.664,21.04,2013-08-16T16:05:16.846,,481,1980,481,1940-01-01T00:00:00,,0.58
Bio Site Exploration,fi 1:  Oxygen and Life,Active,Required,unknown,18.592,1.6481,2013-08-16T16:02:02.413,,482,1944,482,1940-02-01T00:00:00,,0.6
Examples,R* 3:  Color,Passive,Required,Text+Image,7.2023,7.1934,2013-08-16T16:00:01.509,,483,1914,483,1940-03-01T00:00:00,,0.62
Extreme,fp 2:  Radial Velocity,Passive,Required,Text,-5.7474,-19.335,2013-08-16T15:56:56.502,,484,1835,484,1940-04-01T00:00:00,,0.64
Radial Velocity Calculation,fp 2:  Radial Velocity,Passive,Required,Text,14.264,10.697,2013-08-16T15:54:36.265,,485,1910,485,1940-05-01T00:00:00,,0.66
Exit,ne 10:  Application,Passive,Required,Text+Image,-21.333,-6.1382,2013-08-16T15:51:05.949,,486,1994,486,1940-06-01T00:00:00,,0.68
Neptune Density,fp 3:  Planet Composition,Active,Required,unknown,-22.201,11.987,2013-08-16T15:48:44.816,,487,1932,487,1940-07-01T00:00:00,,0.7
Habitability,Intro 4:  Time,Active,Required,unknown,-6.2798,-21.963,2013-08-16T15:46:13.74,,488,1884,488,1940-08-01T00:00:00,,0.72
Habitability,Intro 4:  Time,Active,Required,unknown,-6.2798,-21.963,2013-08-16T15:44:30.97,,489,1844,489,1940-09-01T00:00:00,,0.74
Habitability,Intro 4:  Time,Active,Required,unknown,-7.1984,-22.158,2013-08-16T15:43:00.035,,490,1977,490,1940-10-01T00:00:00,,0.76
Habitability,Intro 4:  Time,Active,Required,unknown,-7.1984,-22.158,2013-08-16T15:39:07.212,,491,1986,491,1940-11-01T00:00:00,,0.78
Night Lights,Intro 6:  Drake Conjecture,Active,Required,unknown,7.7963,-17.983,2013-08-16T15:32:54.449,,492,1920,492,1940-12-01T00:00:00,,0.8
Spreadsheets,Science Literacy,Active,Required,unknown,-5.2828,-0.18862,2013-08-16T15:31:10.556,,493,1908,493,1941-01-01T00:00:00,,0.82
Meth - Distribution,R* 2:  Brightness,Active,Required,unknown,-9.4917,-22.116,2013-08-16T15:28:26.435,,494,1964,494,1941-02-01T00:00:00,,0.84
Reality Extension,Science Literacy,Passive,Required,Text+Image,-4.2274,0.14303,2013-08-16T15:27:26.365,,495,1962,495,1941-03-01T00:00:00,,0.86
Survey Results,R* 5:  Stellar Lifecycles,Passive,Required,Text+Poll Results,-4.5002,-7.5597,2013-08-16T15:24:43.656,,496,1890,496,1941-04-01T00:00:00,,0.88
Summary,ne 6:  Planetary Evolution,Passive,Required,Text,20.776,-18.323,2013-08-16T15:21:55.266,,497,1855,497,1941-05-01T00:00:00,,0.9
Results,Intro 6:  Drake Conjecture,Passive,Required,Video+Poll Results,7.5026,-18.994,2013-08-16T15:18:39.185,,498,1988,498,1941-06-01T00:00:00,,0.92
Set 5,R* 2:  Brightness,Active,Bank Option,unknown,-24.517,-20.112,2013-08-16T15:18:04.768,,499,1921,499,1941-07-01T00:00:00,,0.94
Phospholipid - Behavior,fl 1:  Defining Life,Passive,Required,Text+Image,-23.125,0.22676,2013-08-16T15:16:17.755,,500,1963,500,1941-08-01T00:00:00,,0.0397
Limited Sampling,fp 1:  Transits,Passive,Required,Text+Image,-9.5304,16.438,2013-08-16T15:13:27.112,,501,1982,501,1941-09-01T00:00:00,,0.0398
System 1 Setup,L:  Application,Active,Required,unknown,15.152,-6.7147,2013-08-16T15:12:19.468,,502,1920,502,1941-10-01T00:00:00,,0.0399
Final Tally,ne 3:  Gasses,Passive,Required,Text,10.746,14.436,2013-08-16T15:08:09.462,,503,1986,503,1941-11-01T00:00:00,,0.04
Matter and Energy,Science Literacy,Passive,Required,Text+Image,-21.864,9.0721,2013-08-16T15:06:36.791,,504,1902,504,1941-12-01T00:00:00,,0.0401
Matter and Energy,Science Literacy,Passive,Required,Text+Image,-21.864,9.0721,2013-08-16T15:03:26.282,,505,1923,505,1942-01-01T00:00:00,,0.0402
